desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
446495202200268,http://www.animal.go.kr/files/shelter/2022/07/202208021608259_s.jpg,20220802,청계면 도림리 착한왕갈비 근처,[개] 믹스견,갈색,2022(년생),0.42(Kg),전남-무안-2022-00227,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021608259.jpg,종료(자연사),M,N,"6마리 함께 발견됨, 모두 작고 사랑스러움",무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,전라남도 무안군,무안군,061-450-4059,
446495202200267,http://www.animal.go.kr/files/shelter/2022/07/202208021508596_s.jpg,20220802,청계면 도림리 착한왕갈비 근처,[개] 믹스견,흰색,2022(년생),0.4(Kg),전남-무안-2022-00226,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021508596.jpg,종료(자연사),F,N,"6마리 함께 발견됨, 모두 작고 사랑스러움",무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,전라남도 무안군,무안군,061-450-4059,
446495202200266,http://www.animal.go.kr/files/shelter/2022/07/202208021508461_s.jpg,20220802,망운면 유림아트빌 근처,[개] 믹스견,흰색,2022(년생),9.8(Kg),전남-무안-2022-00225,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021508461.jpg,보호중,M,N,세마리가 같이 돌아다니고 있었음,무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,전라남도 무안군,무안군,061-450-4059,
446495202200265,http://www.animal.go.kr/files/shelter/2022/07/202208020808337_s.jpg,20220802,운남면 저동길 72-4,[개] 믹스견,갈색,2022(년생),7.9(Kg),전남-무안-2022-00224,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208020808337.jpg,보호중,F,N,조용하고 차분함,무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,전라남도 무안군,무안군,061-450-4059,
446484202200320,http://www.animal.go.kr/files/shelter/2022/07/202208021708184_s.jpg,20220802,진월면 사평1길7 주변,[개] 믹스견,갈색,2018(년생),4(Kg),전남-광양-2022-00248,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021708184.jpg,보호중,F,N,믹스 갈색 암컷 4살추정,광양시 임시보호소,061-797-3386,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,전라남도 광양시,광양시,061-797-3386,
446483202200824,http://www.animal.go.kr/files/shelter/2022/07/202208022008653_s.jpg,20220802,나주시 남평읍 강변도시 중우하나린 관리사무실,[고양이] 한국 고양이,검 흰색,2022(년생),0.9(Kg),전남-나주-2022-00810,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208022008653.jpg,종료(입양),F,N,중우하나린관리사무실에서 구조 생후2개월정도보임,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시],전라남도 나주시,축산과,061-339-7604,
446483202200823,http://www.animal.go.kr/files/shelter/2022/07/202208022008594_s.jpg,20220802,나주시 공산면 복용리 마을 회관 앞,[개] 믹스견,흰색,2022(년생),8(Kg),전남-나주-2022-00809,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208022008594.jpg,보호중,F,N,포획구조 매일 출몰,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시],전라남도 나주시,축산과,061-339-7604,
446483202200822,http://www.animal.go.kr/files/shelter/2022/07/202208022008369_s.jpg,20220802,나주시 왕곡면 덕산리 산17,[개] 믹스견,흰색,2022(년생),3(Kg),전남-나주-2022-00808,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208022008369.jpg,보호중,M,N,혁신산단 가는길 산에서구조 포획구조,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시],전라남도 나주시,축산과,061-339-7604,
446482202200447,http://www.animal.go.kr/files/shelter/2022/07/202208021808830_s.jpg,20220802,벌량일출길,[개] 믹스견,갈색,2020(년생),5.89(Kg),전남-순천-2022-00444,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021808830.jpg,보호중,M,N,"종합백신접종,코로나장염접종,광견병접종,데피니트,스팟라인,사상충-양성",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094,
446482202200446,http://www.animal.go.kr/files/shelter/2022/07/202208021808528_s.jpg,20220802,서면선평길,[개] 말티즈,흰색,2020(년생),3.45(Kg),전남-순천-2022-00443,20220802,20220812,http://www.animal.go.kr/files/shelter/2022/07/202208021808528.jpg,종료(입양),M,N,"종합백신접종,코로나장염접종,광견병접종,데피니트,스팟라인,사상충-음성,왼쪽눈심한각막손상",순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",전라남도 순천시,순천시,061-749-3094,
